language,location,messsage
en,,"RT @elpaisdecomiqui: Hipocresía Occidental.
Lloran Notre Dame!
Destruyen Alepo!
Lloran Notre Dame!
Destruyen Irak!
Lloran Notre Dame! 
Destruyen la historia de la humanidad!
Lloran Notre Dame!
Se roban el oro de Venezuela!
Lloran Notre Dame!
Destruyen la humanidad!

Lloran lágrimas de hipocresía!"
en,,"RT @41Strange: Notre-Dame Grotesque overlooking Paris, circa 1910 https://t.co/Upr3vLac8k"
en,,"i'm just too sad rn because of what happened to Notre Dame 😭. it was said to survive wars,plague and revolution way back then pero still, nasunog pa din sya in the year 2019😢"
es,Oaxaca de Magón,"RT @elbarroquista: 1) Las catedrales medievales han ARDIDO más veces.

Notre-Dame ha ardido más veces.

Incluso sufrió peores destrucciones que la de ayer (durante la Revolución Francesa, por ejemplo).

De hecho, casi todo lo que vemos por fuera es fruto de la reconstrucción profunda que necesitó. https://t.co/So1LtPEMaU"
en,"Toronto, Ontario",RT @BillRatchet: if bobby schmurda was free the notre dame church would still be standing
en,Southwest,RT @SamuelQPrescott: 1. Notre Dame withstands 1000 years of wars &amp; natural disasters but is destroyed by a fire during renovation during the holiest of weeks in the Christian faith in a city known for it’s terror attacks? And Macron rules out Arson before the fire is even out yet? https://t.co/Ba8ldUtczs
fr,8 mars 2017,"RT @ghasswish: En vrai quand on voit que Notre-Dame a réussi à lever plusieurs centaines de millions en quelques heures, on peut affirmer que la faim dans le monde est un choix"
es,"Nuevo León, México ",RT @mariana___leal: Cuando fuimos a Francia era por los 15 años de mi hermana y nuestro último día ahí se suponía que era para ir a Notre Dame y mi hermana dijo que no que ella quería de ir de compras por un vestido. Y mi papá me dijo “tienes toda una vida para verla” OK WEY. OK. YA VISTE COMO NO?
en,"Manhattan, NY","RT @itsJeffTiedrich: a frayed neuron sparks and a dim memory of forest fires quenched from planes dances in Trump's ruined brain, and the idiot convinced of his own brilliance cries ""Notre Dame!"" and once again, the absolute and serene confidence of a mediocre white man is a stunning thing to behold"
es,Caracas - Venezuela,Guaidó se solidarizó con pueblo francés tras incendio en la emblemática catedral de Notre Dame         '-         https://t.co/onTNy3hMwr
es,Surco-Lima,"RT @recisneros: Lo que la torre Eiffel es para París, Notre Dame es para Francia 🇫🇷😭 https://t.co/X34AQc4Y5O"
en,Galaxy far far away,"RT @BuraiGonzaresu: *Notre-Dame in flames*

Some Filipinos: ""Omg nasusunog ang Notre-Dame HUHUHU""

*Government and businesses deliberately destroy cultural sites, landmarks and communities (e.g. Marawi, IP communities, etc.)*

Some Filipinos: ""Omg umuunlad na ang Pilipinas HUHU hashtag progress."""
en,DC-NC-NYC,"RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,,RT @mariana___leal: Cuando fuimos a Francia era por los 15 años de mi hermana y nuestro último día ahí se suponía que era para ir a Notre Dame y mi hermana dijo que no que ella quería de ir de compras por un vestido. Y mi papá me dijo “tienes toda una vida para verla” OK WEY. OK. YA VISTE COMO NO?
en-gb,"London, England, United Kingdom.","RT @ezralevant: Imagine this man, who despises France as a nation and a culture, and seeks to replace it with homogenous, borderless sameness, imagine him promising to make Notre Dame “better” than it was before. Imagine letting his aesthetic, religious or cultural tastes vandalize a church. https://t.co/tdwtPF4pZ0"
es,"mar del plata, arg",RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
en,,RT @RealJamesWoods: Francois-Henri Pinaud and Gucci sponsored the incredible six million dollar restoration of Once Upon a Time in America. He and @salmahayek have dedicated themselves to film preservation. Their #NotreDame generosity does not surprise me. #Bravo https://t.co/OECTguU5fx
en,DC burbs,"RT @EdKrassen: The Notre Dame Cathedral Fire is horrific, and it's nice that Trump &amp; Pence took time to tweet their thoughts &amp; prayers to the people of Paris, but why the hell haven't they tweeted a single word about the three black churches that burnt down in America this month?

America 1st?"
es,,RT @TitoHit: Juan José Cortes ya se encuentra en las inmediaciones de Notre Dame.
es,Maracay,"RT @totoaguerrevere: En su esencia más pura, Notre Dame es solo un edificio así como la Mona Lisa es solo una pintura. Lo extraordinario es que la Humanidad haya decidido lo contrario. A sonreír Quasimodos, que las campanas volverán a sonar."
en,"Cincinnati, Ohio","RT @NLGA: PR Sec @LuisRiveraMarin handles international affairs for the territory:   Mr. Consul General of France &amp; to all the French people, receive our embrace for the unfortunate fire that destroyed one of the most famous works of architecture in the world, the Cathedral of Notre Dame. https://t.co/Jp373bsxCP"
en,,RT @PrensaComunitar: Estas son las primeras imágenes del interior de Notre Dame luego del incendio. ( Fuente: AFP via The Local) https://t.co/f15Tq3zoAH
en,NYC,"RT @eugenegu: Whereas Flint doesn’t have clean drinking water, Puerto Rico hasn’t fully recovered, and 3 black churches burned to the ground without comment, Trump offers money to rebuild Notre Dame. That’s not America first. That’s white people first, even if they live in far away countries."
en,,RT @iyad_elbaghdadi: The Xinjiang mosque that the Chinese regime recently bulldozed was as old as the Notre Dame. Not a whimper. https://t.co/w83DdSpnkh
en,"Rhode Island, USA",RT @ElBeardsley: Inside Notre Dame. They are still stabilizing the cathedral. It will take 48 hours before firefighters can go in and save the large paintings and artworks. ⁦@NPR⁩ https://t.co/zp9IIdkujs
pt,Londrina Paraná,"RT @Haddad_Fernando: Será que bilionários brasileiros se mobilizarão para reconstruir o Museu Nacional? Calma, é só uma pergunta!
“Bilionários se mobilizam para reconstruir Notre-Dame”
https://t.co/WY742ypTFg"
en,"Nashville, TN",RT @EmeraldRobinson: Stories you won't see reported or discussed today: One of three female Muslim terrorists who tried to set fire to Notre Dame in 2016 was sentenced just four days ago on Friday. https://t.co/E7MHtbtb36
en,,"RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,,"RT @GEJonathan: I was touched to see iconic Notre Dame, France's great treasure, place of solace, symbol of unity and totem of peace  go up in flames. Notre Dame  for centuries was  a  place of prayer that rallies humanity to Paris.  My thoughts are with the people of France.  GEJ https://t.co/UWVl3qz5fd"
en,,"RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,United States,"RT @acnewsitics: Conservatives are more outraged by the imaginery arson by Muslims at the Notre Dame Cathedral, than actual arson attacks that destroyed 3 historic black churches on US soil."
es,,"RT @WasonJackNapier: Ahora todos suben sus fotos cuando estuvieron en Notre Dame, cuando se prenda fuego Cocodrilo vamos a ver a cuántos les dan los huevos...
😂😂😂😂😂😂😂😂😂😂"
en,"Goaso, Ghana","RT @ecocaregh: @NAkufoAddo @EmmanuelMacron What really bothers me is:
Why does the destruction of a cultural structure (e.g. Notre-Dame) affect us more than the destruction of our environment, of nature, the extinction of species, empty claims about the SDGs, greenwashing and zero-will to climate action?"
es,Venezuela,"RT @lubrio: Por supuesto que a toda Latinoamérica nos duele cada vez que un tesoro como Notre Dame se pierde. Estas obras fueron construidas, mantenidas o restauradas, al menos en parte, con el oro saqueado de nuestro continente, así que en parte también nos pertenecen. https://t.co/GkpXRtrUCn"
da,Denmark,RT @haktheakh: So you’re telling me that Masjid Al Aqsa also had a fire but we only heard about Notre Dame Cathedral 🤔
es,,"RT @raulsdargoltz: Siria fue bombardeado y se destrozaron patrimonios de la humanidad como el Teatro de Palmira, estos monumentos son muchos más antiguos que varios de occidente. Pero como no es primer mundo no tuvo la repercusión necesaria  como hoy con Notre Dame https://t.co/QkrfD7Tv4G"
es,,"RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
en,"Louisville, KY","RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,"Columbus, OH","RT @StepByStepWDW: Notre Dame is the heart of Paris. Not the Eiffel Tower, but Notre Dame.

Outside her 850-years-old facade is a marker known as Point Zero. It's the point from which everything in France is measured. 

Victor Hugo's novel would enshrine the cathedral's importance to the city. https://t.co/3gB2AoLbCo"
en,,"RT @becket: Crazy photo of the altar inside Notre Dame, by Reuters' Philippe Wojazer https://t.co/KjRPSVKJRA"
en,"Leuven, Belgium",RT @EduardHabsburg: This may be the right occasion  to post the earliest known photograph of Notre Dame from 1838. Photography was barely invented https://t.co/kyoj3x4uV3
en,United States,"RT @EdKrassen: So let me get this straight.  Trump is offering to help France in rehabilitating the Notre Dame Cathedral but he won’t do a single thing for Puerto Rico or Flint Michigan.

That’s not America First!
That’s white people first!"
es,,"RT @lopedetoledo: Puedo entender que no creas en Dios.
O que la religión te parezca un engaño.
Pero joder, que solo el rosetón de Notre Dame ya es una obra de arte. ¿Cómo puede haber borregos celebrando que se queme? https://t.co/3SkRBxfbPX"
es,,"RT @raulsdargoltz: Siria fue bombardeado y se destrozaron patrimonios de la humanidad como el Teatro de Palmira, estos monumentos son muchos más antiguos que varios de occidente. Pero como no es primer mundo no tuvo la repercusión necesaria  como hoy con Notre Dame https://t.co/QkrfD7Tv4G"
en,greater philadelphia,"RT @highentiatomb: notre dame will likely be restored but the al-aqsa mosque, the third holiest site in islam, also caught on fire today. there was minimal damage and no lives lost but it'll probably need some repairs! if you're able to help their fundraising pages are here:
https://t.co/p6uTPuLLVJ"
en,919 || 215,RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
en,,RT @SocialPowerOne1: Sarah Sanders tries to fix humiliating Trump response to Notre Dame fire https://t.co/wd1XKdof4m
en,United States,RT @washingtonpost: Analysis: Trump and Pence tweeted about Notre Dame fire but said nothing when 3 black churches burned https://t.co/YH863rMfYw
es,,RT @AndresFGuevaraB: En menos de 1 día 3 familias de empresarios franceses anunciaron que donarán 500 millones de euros para restaurar Notre Dame. Vendrán más. Pero el capitalismo es malo y avaricioso.
es,Sevilla,"RT @berna_leon: Esto acaba de pasar en uno de los puentes, a metros de Notre Dame. https://t.co/DJ5CFgj3qG"
en,,"RT @MichelleObama: The majesty of Notre Dame—the history, artistry, and spirituality—took our breath away, lifting us to a higher understanding of who we are and who we can be. Being here in Paris tonight, my heart aches with the people of France. Yet I know that Notre Dame will soon awe us again. https://t.co/p1mIDMbwe1"
en,"Brooklyn, NY","RT @QasimRashid: Black church burns
•Beck: ¯\_(ツ)_/¯

2nd Black church burns
•Beck: ¯\_(ツ)_/¯

3rd Black church burns
•Beck: ¯\_(ツ)_/¯

Culprit is white supremacist
•Beck: ¯\_(ツ)_/¯

Notre Dame Burns due to human error
•Beck: How can I blame Muslims for this??

🤔
https://t.co/VvEGKOpvd5"
en,United States,"Dear @99piorg, just listened to your wonderful episode on Gaudí's stunning Barcelona church, La Sagrada Família. Everyone should listen and look at this one. It's not a direct consolation for Notre Dame, but it's so good to be reminded of such projects. https://t.co/Is9RgCkcCp"
en,Canada. Crisis Actor.,"RT @yoyoha: Salma Hayek's husband is donating 100 million to help rebuild Notre Dame so I'm sending my $20 to him. So that makes it $100,000,020.00 from both of us."
en,,RT @jules_jules_ju: Mormons making jokes about Notre Dame burning down should seriously consider what they're making fun of. Remember how our community grieved when the Provo Tabernacle burned? People are mourning. Have some respect.
es,Entre Maipo y Aconcagua,"RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
es,"Santiago, Chile",Ex ministro Ottone e incendio de Notre Dame: Es un llamado para preocuparnos del patrimonio #CooperativaConversa https://t.co/qTHaEoeNYQ https://t.co/R10Wtan1Qz
en,United States,"RT @SimpsonPike: Over half a billion Euros has been raised for Notre Dame already. 

There are still families who do not have a home after Grenfell. 
Flint still doesn't have clean water.
Whole nations are being submerged because of climate change.
POC's lives should matter more than cathedrals."
en,"Port Isabel, TX",RT @EmeraldRobinson: Notre Dame fire: The owner of the restoration company - which is very highly regarded - says that absolutely none of his 12 workmen were on site when the fire began. They had already left for the day. https://t.co/9a0B7dzyMB
es,lost.,RT @iCxrrington: Yo al ver que Ladybug no llegó a apagar el incendio de la catedral de Notre Dame en París. https://t.co/qvrDm5lBWM
it,,RT @TRUMPMOVEMENTUS: BBC News - Notre-Dame fire: Cathedral saved within crucial half hour https://t.co/ydOEXHmzoy
it,,RT @TRUMPMOVEMENTUS: BBC News - Notre-Dame fire: Cathedral saved within crucial half hour https://t.co/ydOEXHmzoy
en,,RT @washingtonpost: Analysis: Trump and Pence tweeted about Notre Dame fire but said nothing when 3 black churches burned https://t.co/YH863rMfYw
ja,,Photosynth Tutorial: How to Capture Notre Dame de Paris in 3D - PLP #86 by Serge Ramelli - YouTube https://t.co/wkQKFE15j3
en,Nowhere you'd want to be in.,RT @ManInTheHoody: i wonder if theyre gonna rebuild notre dame before flint has clean water
en,,RT @sotiridi: #Breaking: Just in - Video is emerging of a #GiletsJaunes in black cloths at one of the the 2 towers half an hour at the start of the fire  at the cathédrale Notre-Dame de #Paris. #NotreDame #France. https://t.co/haGSO7VCIB
en,,RT @kylebeshears: This picture of the cross still standing amid the ruins of Notre Dame is quite the picture of hope. https://t.co/lON2eyDPda
en,On an island somewhere/ Fl,"RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,,"RT @madeleinelacsko: O reitor da Grande Mesquita de Paris pede para que os muçulmanos ajudem a reconstrução de Notre Dame.

Brazucas cristãos da ala psiquiátrica do governo comemoram a destruição."
en,htx,RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
en,Michigan,"RT @11thHour: A French reporter asked @PeteButtigieg about the tragic fire at Notre Dame yesterday. And Buttigieg replied... in French. 
See more: https://t.co/fpPNkkinYX
#11MSNBC #11thHour https://t.co/adwCz1Ww6Q"
en,,RT @AOCpress: The Notre Dame fire is a reminder to all of us the danger of climate change.
ca,,"RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
es,vicente lopez,"RT @GabyLevinas: Grandes empresarios franceses ya donaron mas de 600 millones de euros para reconstruir Notre Dame, Si pasase en Argentina nuestros empresarios estarían rosqueando para ganar la licitación y sobre-facturar un 300%"
en,,RT @Newsweek: Jerusalem's Al-Aqsa Mosque burns at the same time as fire engulfs Notre Dame Cathedral in Paris https://t.co/IBve6ek5AH https://t.co/NhprnLM4y7
es,En el fin del mundo,RT @KrisstaFlores: ¿Por qué Notre Dame y no Casa de Dios? 🥺
en,,"RT @chrishaji10: Today humanity lost a priceless monument. For more than 800 years, it survived revolution, plague and world war. It inspired artists and authors like Victor Hugo and enchanted millions of tourists and today Notre Dame de Paris burns 😔 #NotreDame https://t.co/i9QdHIJtHa"
en,Here and Now,RT @washingtonpost: Analysis: Trump and Pence tweeted about Notre Dame fire but said nothing when 3 black churches burned https://t.co/YH863rMfYw
en,,RT @KamVTV: The cross of Christ still stands untouched inside Notre Dame Cathedral. Incredible. ⛪️ https://t.co/o8sUfnldbX
en,,RT @gaygadott: notre dame on fire is the most aesthetically pleasing visually i’ve ever seen https://t.co/p6GzR1pxrQ
en,,RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
en,Costa Rica,RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
en,,"RT @EdKrassen: So let me get this straight.  Trump is offering to help France in rehabilitating the Notre Dame Cathedral but he won’t do a single thing for Puerto Rico or Flint Michigan.

That’s not America First!
That’s white people first!"
en,At the pinnacle of failure,RT @TheOnion: Notre Dame Gargoyle Going To Stay As Still As Possible Until Arson Investigator Gone https://t.co/ybAQwnNNS3 https://t.co/qWngTYjdKL
en,"Houston, TX","RT @SaraVanderwegen: Built in 1163. Took 200 years to complete. 
It survived revolutions, plagues and world wars. 
And now, the evening of April 15th 2019, the Notre Dame in Paris burns. 
All history gone. 

The world stands helpless as history disappears before our eyes. 💔  

Im so sorry #NotreDame https://t.co/aHYu5fOJqo"
en,"Chicago, IL","RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,Costa Rica,RT @RollingStone: We talked to architects and historians about the significance of Notre Dame after the fire and what should happen next https://t.co/3xDF1eqHnT https://t.co/cGdMOYN7Uu
it,,"RT @PrisonPlanet: The Vice-President of the French student union at the University of Lille reacted to the Notre Dame fire by tweeting, “I swear to Allah we don’t give a rat’s ass.” https://t.co/y9k78s0JIF"
es,"Guayaquil, Ecuador",RT @CNNEE: Quizá compartiste este dibujo de Quasimodo. Hablamos con la autora https://t.co/vREhpCbzgR
fr,montreal quebec canada,"Bouleversé, le monde entier rend hommage à Notre-Dame de Paris https://t.co/k1j84KOH1v"
en,D(M)V,"RT @highentiatomb: notre dame will likely be restored but the al-aqsa mosque, the third holiest site in islam, also caught on fire today. there was minimal damage and no lives lost but it'll probably need some repairs! if you're able to help their fundraising pages are here:
https://t.co/p6uTPuLLVJ"
en,Africa,#FoxAlgeria Donations pour in to help rebuild Notre Dame Cathedral https://t.co/DgRth3FaNK #algerie #Algeria #الجزائر
en,"Michigan, USA","RT @dianadarke: Notre-Dame's architectural design, like all Gothic cathedrals in Europe, comes directly from #Syria's Qalb Lozeh 5th century church - Crusaders brought the 'twin tower flanking the rose window' concept back to Europe in the 12th century. It's is #Idlib province, still standing... https://t.co/S0WxmClpw7"
en,"Niagara Falls, Ontario","RT @tictoc: These are some of the treasures inside Paris’ Notre Dame cathedral #NotreDameCathedral #NotreDameFire

Read more @business: https://t.co/O9V2W2PAk3 https://t.co/0b1AKQeKk4"
en,United Kingdom/ Nigeria,RT @thenextweb: Assassin's Creed Unity's replica of Notre-Dame could help recreate the real thing https://t.co/a9HAdCZNJn
es,,"RT @muyinteresante: La catedral de Notre Dame, en cifras #NotreDameEnLlamas https://t.co/L2P82rqqDx"
en,,RT @parkwaysexdrive: as heartbroken as I am about Notre Dame there’s something seriously wrong when French billionaires have already pledged over €300 million to fix a church while 9 million people in France live below the poverty line
en,"Lille, France",RT @france_scp: Un refuge a été mis en place pour accueillir les gargouilles et les chimères rescapées de Notre-Dame. Des galettes de calcaire et des coupes d'eau de pluie sont distribuées aux réfugiés. Une cellule psychologique et plusieurs sculpteurs prennent en charge les victimes.
en,"Maryland, USA",RT @emma_chapple: The artists who worked on Disney's The Hunchback of Notre Dame were allowed private access into the Cathedral and out of it came some of the most gorgeous artwork in any animated film. This is all I have to add 💔 https://t.co/nJRHfYbq3m
en,"Toronto, Ontario",RT @HistoryExtra: 10 historical facts about Paris’s Notre-Dame cathedral https://t.co/aGKupLXSBk #NotreDameCathedralFire
en,,"RT @davidfrawleyved: Sad to note of damage to such a great cultural and religious monument as Notre Dame, but why doesn't the world or even India lament the damage willfully done to great Hindu temples over the centuries? Are Hindu temples not worthy of respect?"
en,South,RT @washingtonpost: Analysis: Trump and Pence tweeted about Notre Dame fire but said nothing when 3 black churches burned https://t.co/YH863rMfYw
en,Sydney Australia,"RT @bookshopaddict: @noplaceforsheep My kids and I were talking about Notre Dame and cultural importance, and then I told them about how Europeans destroyed the Old Summer Palace in China, the fire at the Al-Asqa mosque, and the birthing tree.  Heritage and culture is important to everyone, not just one group."
en,Solider Field,"RT @QasimRashid: Black church burns
•Beck: ¯\_(ツ)_/¯

2nd Black church burns
•Beck: ¯\_(ツ)_/¯

3rd Black church burns
•Beck: ¯\_(ツ)_/¯

Culprit is white supremacist
•Beck: ¯\_(ツ)_/¯

Notre Dame Burns due to human error
•Beck: How can I blame Muslims for this??

🤔
https://t.co/VvEGKOpvd5"
en,New Zealand,"RT @BarackObama: Notre Dame is one of the world’s great treasures, and we’re thinking of the people of France in your time of grief. It’s in our nature to mourn when we see history lost – but it’s also in our nature to rebuild for tomorrow, as strong as we can. https://t.co/SpMEvv1BzB"
en,out 'n about,"RT @PrisonPlanet: BuzzFeed lobbies for Big Tech to deplatform people for ""misinformation"".

Then engages in blatant misinformation by crafting an outright hoax that no one celebrated the Notre Dame fire. They did.

Under its own rules, BuzzFeed should be deplatformed.

https://t.co/nx9QheuRKN"
en,"Minden, NV","RT @goodbeanalt: this girl     notre dame cathedral
               🤝
           on fire"
en,"Salem, OR","RT @EmeraldRobinson: The big problem with the Notre Dame ""accidental fire due to restoration work"" is that the chief architect says no such welding equipment was there yet. Also, the restorers had left for the day - according to early reports. https://t.co/HOsW5l3gcy"
es,Argentina,"RT @Conspimic23: Hay diez profecías de nostradamus las cuales 5 de esas ya se cumplieron, con esta que se cumplio serian 6, la del el incendió de la Notre dame y según otra profecía que se va cumplir es el impacto de un asteroide en la tierra para septiembre de este año. 🗞"
it,Somewhere in a Dream,"RT @AlonsoBTC: Notre Dame fire predicts a new era in western civilization

This is not a coincidence"
es,Puerto Madryn,RT @santapa_: ahora todos son fans de notre dame a ver diganme 4 jorobados
en,"Tampa, FL","RT @resistPOTUSnow: Resisters, let’s do this. Notre Dame will be rebuilt as it should be. Let’s help out these churches. I’m a believer - in love. 

 Seventh District Baptist Church Fires St Landry https://t.co/2KQI05b4eU"
es,"Celaya, Guanajuato",México enviará a artista que hizo estatua de Juárez ET para reconstruir Notre Dame https://t.co/jCc5lpBexM
es,"Pa'lante, toh recto.","RT @tenebrisimo_: Conocemos todos la catedral de Notre Dame, pero anoche también ardió la mezquita Al-Aqsa de Jerusalén, del siglo VIII. https://t.co/cuQmGcPN2v"
ja,,RT @ogugeo: 2015年にパリのノートルダム大聖堂の詳細な三次元データがレーザースキャンや写真測量を用いて構築されており、修復に活用できるという記事。 https://t.co/pv3QoASLrh データの取得者はベルギー人のゴシック建築の研究者で、昨年49歳の若さで病死した Andrew Tallon 氏。貴重なデータを遺してくれた。 https://t.co/kulYo2eBr2
es,Caracas - Venezuela,Estructura de la catedral de Notre Dame pudo haberse salvado tras enfriamiento del fuego       '`       https://t.co/AYj5KSYand
en,"Moscow, ID","RT @mlymrtn: listen
why don't we have the same energy mourning the destruction of our 4.5 billion year old planet as we do for the 856 year old notre dame cathedral"
